Name,Type,Details,Phone,Address,Gallery
Drinking & Healing,BAR,"Thân mật và mang lại cảm giác gần gũi, Drink & Healing là địa điểm không thể bỏ qua để thưởng thức những ly cocktail đầy cảm hứng và thư giãn với những gì bình dị và chân thực nhất.",0934110110,"25 Đ. Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam","https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/96358481_555475021836638_4140598393195986944_n.jpg
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/98119670_561303761253764_3775672025830391808_n.jpg
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/101175901_563593444358129_8719233607488503808_n.jpg
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/109363362_591205974930209_619770533378097706_n.jpg
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/117347618_612261376158002_2509272931882174935_n.jpg
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/117654986_612263332824473_281826449518883952_n.jpg
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/119483333_635944883789651_600197767857430455_n.jpg
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/131546138_698951447488994_1626550790068394846_n.jpg
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/144595046_723226031728202_2478982326657739223_n.jpg
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/145216567_723226041728201_6483909428973024803_n.jpg
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/154240459_738748490175956_690436640306732017_n.jpg
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/211380444_803449173705887_8855064030576298888_n.jpg"
The Summit Bar,BAR,"Nằm trên tầng cao nhất của khách sạn 5 sao Pan Pacific, nhìn ra mặt hồ Tây lung linh và dòng sông Hồng huyền thoại, Summit Lounge trở thành một thiên đường hoàn hảo với các loại cocktail, ẩm thực đặc sắc. ",0901778318,"1 Đ. Thanh Niên, Trúc Bạch, Ba Đình, Hà Nội, Vietnam",https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/104437201_3038314926267705_7091704706422118048_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/154802863_3744321549000369_1964159808148869928_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/184377023_3951444488288073_5808678507569573389_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/184661618_3951445624954626_3938521422161552131_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/198431111_4065669296865591_2199674843558641320_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/201554045_4065669263532261_2223250374557808618_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/246740884_4438607252905125_4091712052894304822_n.jpg
Cool Cats Jazz Club,BAR,"Hãy đến với Cool Cats Jazz Club, thư giãn và tận hưởng một buổi tối khó quên tại địa điểm giải trí sành điệu mới tại Hà Nội. Quý khách sẽ được trải nghiệm một không gian từ thập niên 20, được lắng nghe những giai điệu nhạc Jazz quyến rũ đến từ các nghệ sỹ trong và ngoài nước và nhâm nhi ly cocktail đặc sắc trong khi thưởng thức những món ăn nhẹ.",842438335588,"8 Do Duc Duc, Me Tri, South, Từ Liêm, Hà Nội 100000, Vietnam",https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/58377041_840535802961072_2281283123494780928_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/67592547_908547952826523_4623507185765187584_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/116042441_1199195177095131_8864871782058382296_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/131130970_1316589582022356_2558776840465822706_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/173872910_1394081427606504_4471803777690622070_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/248014044_1526889047659074_1991515544812724681_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/249977108_1529669107381068_5403007606369225_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/dsc04197.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/dsc04212.jpg
Rabbit Hole,BAR,"Dành cho những ai đang muốn tạm xa khỏi chốn đô thị ồn ào thì Rabbit Hole là một nơi khá lý tưởng để “ẩn mình”. Dù nằm trên con phố sầm uất nhất nhì Sài Gòn nhưng với vị trí dưới tầng hầm nên quán khá yên tĩnh, không gian được thiết kế theo phong cách hiện đại, pha trộn khéo léo giữa Á và Âu đầy tính nghệ thuật. ",02838234896,"138 Nam Kỳ Khởi Nghĩa, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000, Vietnam",https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/33151659_255747664990117_2647853277923770368_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/48424376_372517309979818_1112670028886441984_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/50155032_384623775435838_4858649300827111424_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/50274365_384623698769179_8612610387235307520_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/50411407_384623422102540_4562550690618015744_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/54435863_411399776091571_7356278680164761600_n.jpg
Qui Cuision Mixology,BAR,"QUI - Cuisine Mixology là một khái niệm mới dành cho dân sành ẩm thực với không gian sang trọng, hiện đại, trang nhã. Thực khách có thể thưởng thức các món ăn lấy cảm hứng từ phong cách Kết hợp Châu Á và một loạt các loại cocktail theo mùa sáng tạo. Bầu không khí thời thượng và tràn đầy năng lượng này là một điểm đến hoàn hảo cho trải nghiệm ẩm thực và kết hợp với sự chơi nhạc của DJ chuyên nghiệp",02838288828,"22 Lê Thánh Tôn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/homepage-atmosphere.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/lounge-1-min.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/lounge-3-min.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/lounge-4-min.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/lounge-6-min.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/lounge-7-min.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/lounge-10-min.jpg
Grill 63,RESTAURANT,"Grill 63 nhà hàng 5 sao khá nổi tiếng ở Hà Nội, Grill 63 tọa lạc tại vị trí “đắc địa”, thậm chí còn sở hữu không gian trên cao nhìn xuống các tòa nhà lộng lẫy Hà Nội. Grill 63 được biết đến nhiều hơn qua những món ăn về bò và rượu vang chát. Grill 63 luôn tạo không gian riêng tư cho thực khách và giúp họ vừa thưởng thức món ăn ngon vừa ngắm cảnh đẹp.",02433331701,"Vietnam, Hà Nội, Ba Đình, Str Ward 63F, No. 54, Lieu Giai",https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/grill-63-hanoi-night.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/grill-63-hanoi-buffet.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/Grill-63-4-e1604155093532.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/grill-63-2.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/210702-3-2000-din-LTHA.JPG.thumb.768.768.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/nha-hang-au-tai-ha-noi-29-15753408762501132358168.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/nha-hang-grill-63.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/restaurant-overview.jpeg
Nhân Sushi,RESTAURANT,"Chuỗi hệ thống Nhà hàng Nhan Sushi Ha Noi là một trong những Nhà hàng mang phong cách Nhật Bản đến tới Hà Nội và Việt Nam. Tọa lạc tại những địa điểm đẹp, Nhan Sushi Ha Noi là một trong những Nhà hàng có tầm nhìn đẳng cấp khi đem đến nền văn hóa và ẩm thực thu nhỏ của Nhật Bản giữa lòng Hà Nội.",0702098686,"101 Phố Triệu Việt Vương, Nguyễn Du, Hai Bà Trưng, Hà Nội, Vietnam",https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/khong-gian-quan-nhan-sushi-1024x614.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/am-thuc-nhat-nha-hang-kimono-569908.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/nhan-sushi-ha-noi-819x1024.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/photo1559833149515-1559833149748-crop-1559833188148775672561.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/photo1559993867635-1559993867813-crop-155999390790980404449.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/pn_25b0e8d0334f4ac4976a6afb58af7f14_master.jpeg
Buffet Sứ,RESTAURANT,"Sứ Buffet là nhà hàng buffet nổi tiếng tại thủ đô Hà Nội. Với thực đơn món ăn Á - Âu vô cùng phong phú từ phong cách truyền thống đến hiện đại, từ dân dã đến sang chảnh sẽ khiến bạn như đang lạc bước vào thiên đường ẩm thực ngập tràn sắc hương vị.
",84986505259,"64 P. Nguyễn Du, Trần Hưng Đạo, Hai Bà Trưng, Hà Nội, Vietnam",https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/3-Buffet-Su-30.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/4-Buffet-Su-35.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/Buffet-Su-27.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/Buffet-Su-31.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/Buffet-Su-33.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/Buffet-Su-34.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/Buffet-Su-41.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/Buffet-Su-42.jpeg
Vua chả cá,RESTAURANT,"Hệ thống nhà hàng VUA CHẢ CÁ là nhà hàng chả cá đầu tiên tại Hà Nội trang bị hệ thống hút mùi tiêu chuẩn Hàn Quốc, Bạn sẽ không còn lo lắng những mùi dầu mỡ khó chịu bám theo mình suốt cả ngày, Vua Chả Cá giới thiệu tới bạn một phong cách ẩm thực đặc sắc và hiện đại

Nếu bạn đang tìm một nơi hẹn hò lãng mạn, check in sang chảnh cùng bạn bè, những bữa ăn gia đình hay cuộc gặp gỡ đối tác quan trọng, Vua Chả Cá chính là sự lựa chọn tuyệt vời dành cho bạn. Một không gian lịch sự, ấm cúng với gam màu nâu, vàng và nội thất gỗ mộc đem lại sự gần gũi, thư giãn cho thực khách.",0979775566,"48 P. Nguyễn Thị Định, Trung Hoà, Cầu Giấy, Hà Nội 100000, Vietnam",https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/z729655796046_c71d4fa77a2f1d145007fd3eea30e189-1.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/z729655835046_00c7c7761d75d7e10b5f2fdaa2b4efb5-1.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/z729655609020_c09a1163ad8904df52a57524e403ecf4-6.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/z729655496987_86a37b3b96184a3b2d5d646bd3860904-cs1-1-2.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/z729655982161_64f7366e7de4089e64ad2d67d6334671-1.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/z729656214461_063253f8cde96be1359357ee0157f3e0-1.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/z936769469009_39d3d17d727ce82a3b3c927306374a1d.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/MenuVCC210x395mm-100-bộLR-01.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/MenuVCC210x395mm-100-bộ-02.jpeg
Social Club - Hotel des Art,RESTAURANT,"Social Club là nhà hàng nằm ở tầng 23 thuộc khách sạn MGallery Hotel des Art, vốn nổi tiếng là một trong những khách sạn có thiết kế sang chảnh và tinh tế nhất Sài Gòn. Social Club có cả à la carte và buffet theo phong cách Tây Âu với những món tươi ngon và cao cấp. Nơi đây thường xuyên đón tiếp các đầu bếp đẳng cấp quốc tế với thực đơn đặc biệt. ",02839898888,"MGallery Saigon, Floor 23, 76-78 Nguyễn Thị Minh Khai, Quận 3, Thành phố Hồ Chí Minh, Vietnam",https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/Food-Close-up-Low-View-5.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/KOK_7062.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/DSC_6849.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/kok.jpeg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/TRAVELLIVE-OCTOBER-2016-4.jpeg
Kingspa Land,MASSAGE,"Ngoài nhân viên thì cơ sở vật chất cũng phải đẹp và hoành tráng với các phong cách và không gian thoải mái như vậy khách hàng sẽ hài lòng và thu hút khách hàng đến nhiều hơn.
Kingspa Land Hà Nội là cơ sở có đầy đủ những yếu tố trên mang lại sự thoải mái những giây phút thăng hoa.",02466832628,"25 Ngõ 71 Đỗ Quang, Trung Hoà, Cầu Giấy, Hà Nội 123070, Vietnam",https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/5F77E1C8-9023-47DC-AE95-8BED6789E436.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/9C5082A4-5A0E-4C15-8743-CE35EDDF3FD0.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/46FD3BF6-ACBD-40EE-9C3F-CFA224DB64A1.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/46FD3BF6-ACBD-40EE-9C3F-CFA224DB64A2.jpg
Massage Yoni cho nữ - Phạm Hùng,MASSAGE,"Phạm Hùng Massage giới thiệu chuyên cung cấp dịch vụ Massage tại nhà với massage Yoni mang đến những giây phút thư giãn, chăm sóc sức khỏe cơ thể và làm đẹp cho quý chị em phụ Nữ.

Với hơn nhiều năm kinh nghiệm và từng trải qua các khóa học và đào tạo về Massage Yoni bài bản. KTV Nam Massage do đích thân Phạm Hùng chỉ dạy và truyền đạt kinh nghiệm, được đào tạo bài bản và quy chuẩn trước khi ra làm cho quý khách hàng. Những kỹ thuật do chính Phạm Hùng giới thiệu sáng tạo riêng và đảm bảo chỉ có nhân viên bên Phạm Hùng – Massage Girl có những kỹ thuật tuyệt đĩnh Yoni này.",0902012547,"39D Hàng Chiếu, P, Hoàn Kiếm, Hà Nội 100000, Vietnam",https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/massage-cho-nu-1.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/massage-yoni-cho-nu-tphcm.html-1.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/massage-yoni-la-gi.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/Massage-Yoni-nu.jpg
TLT VIP-Club,MASSAGE,"Giữa Hà Nội cổ kính nhưng náo nhiệt, TLT VIP-Club như một không gian khác lạ, tách biệt hoàn toàn bởi sự bận rộn ấy. Nằm ngay tại số 22-24 Phan Văn Trị,  TLT VIP-Club sẽ là một điểm đến trong hành trình du lịch của bạn khám phá Hà Nội, nếu một lần đi du lịch Việt Nam, tới thủ đô Hà Nội, thoát khỏi cuộc sống nhộn nhịp thường ngày, thì hãy dành một chút thời gian để đến sử dụng dịch vụ Spa, Massage của chúng tôi. Như thêm một vị mới, thú vị trong hành trình khám phá của bạn, TLT VIP-Club mang đến những cảm giác yên bình, an toàn và thực sự thư giãn bởi phương pháp trị liệu tự nhiên, nguyên liệu thiên nhiên thuần túy.",842422668855,"26 P. Phan Văn Trị, Quốc Tử Giám, Đống Đa, Hà Nội, Vietnam",https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/24291663_1112376305564955_155400476797664509_o-1030x773.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/24130424_1112376302231622_2519640957212123076_o-1030x773.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/13124829_766018316867424_2890529811062196532_n.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/27369164_1698436403537722_3548677401576846769_o-1030x687.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/27624862_1698436630204366_1740996268533440091_o-1030x687.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/27709554_1698464780201551_8067519179378951672_o-1030x687.jpg|https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/27748122_1698465020201527_6789815911553437733_o-1030x687.jpg
Hương Sen Spa,MASSAGE,"Phương pháp massage mà Hương Sen Healthcare Center áp dụng là phương pháp massage truyền thống Việt Nam. Đây là phương pháp trị liệu sử dụng các động tác truyền thống nhuần nhuyễn kết hợp giữa bấm huyệt, đấm, vỗ, bóp, véo với cạo gió để tác động lên các cơ bị co cứng và làm chúng co giãn, mềm mại hơn, hỗ trợ trị liệu các bệnh về khớp, đau thần kinh tọa, cơ bắp, mệt mỏi hay trúng gió…",02437171999,"68 An Dương, Yên Phụ, Tây Hồ, Hà Nội, Vietnam","https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/massage-huong-sen-311026.jpg.webp
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/massage-huong-sen-311025.jpg.webp
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/massage-huong-sen-311023.webp
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/massage-huong-sen-311022.jpg.webp
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/steam-huong-sen-1.jpg.webp
https://laka-storage-vn.hn.ss.bfcplatform.vn/data/images/DSC3741-1.jpg.webp"